chapter,ref
"§III: “The One Hundred and Eight Negations”, verse 98",/polyglotta/index.php?page=record&vid=441&level=2&cid=409587
Uttarapadaśatam,/polyglotta/index.php?page=record&vid=441&level=2&cid=409588
§IV: Concerning the Vijñānas,/polyglotta/index.php?page=record&vid=441&level=2&cid=409589
§V: Seven Kinds of Self-nature (svabhāva).,/polyglotta/index.php?page=record&vid=441&level=2&cid=409592
"§VI: Seven Kinds of First Principle (paramārtha), and the Philosophers’ Wrong Views regarding the Mind Rejected",/polyglotta/index.php?page=record&vid=441&level=2&cid=409593
"§VII: Erroneous Views held by Some Brahmans and Śramanas Concerning Causation, Continuation, etc.; The Buddhist Views Concerning Such Subjects as Alayavijñāna, Nirvana, Mind-only, etc.; Attainments of the Bodhisattva",/polyglotta/index.php?page=record&vid=441&level=2&cid=409595
§VIII: The Bodhisattva's Discipling himself in Self-realisation,/polyglotta/index.php?page=record&vid=441&level=2&cid=409598
§IX: The Evolution and Function of the Vijñānas; The Spiritual Discipline of the Bodhisattva; Verses on the Ālaya-ocean and Vijñāna-waves,/polyglotta/index.php?page=record&vid=441&level=2&cid=409599
Verse 99-124,/polyglotta/index.php?page=record&vid=441&level=2&cid=409603
§X: The Bodhisattva is to Understand the Signification of Mind-only,/polyglotta/index.php?page=record&vid=441&level=2&cid=409629
§XI(a): The Three Aspects of Noble Wisdom (āryajñāna).,/polyglotta/index.php?page=record&vid=441&level=2&cid=409630
§XI(b): The Attainment of the Tathāgatakāya,/polyglotta/index.php?page=record&vid=441&level=2&cid=409632
§XII: Logic on the Hare's Horns,/polyglotta/index.php?page=record&vid=441&level=2&cid=409633
"§XIII: Verses on the Ālayavijñāna and Mind-only, verse 123-127",/polyglotta/index.php?page=record&vid=441&level=2&cid=409638
"§XIV: Purification of the Outflows, Instantaneous and Gradual",/polyglotta/index.php?page=record&vid=441&level=2&cid=409643
